index,value,is_one,rolling_density_ones
259,2,0,0.5
260,1,1,0.505
261,2,0,0.5
262,2,0,0.5
263,1,1,0.505
264,2,0,0.5
265,1,1,0.505
266,1,1,0.51
267,2,0,0.505
268,1,1,0.505
269,2,0,0.505
270,2,0,0.5
271,1,1,0.5
272,1,1,0.505
273,2,0,0.5
274,1,1,0.505
275,1,1,0.51
276,2,0,0.505
277,1,1,0.51
278,2,0,0.505
279,2,0,0.5
280,1,1,0.505
281,2,0,0.505
282,2,0,0.5
283,1,1,0.505
284,1,1,0.51
285,2,0,0.505
286,1,1,0.505
287,2,0,0.505
288,2,0,0.5
289,1,1,0.505
290,2,0,0.505
291,1,1,0.505
292,1,1,0.51
293,2,0,0.51
294,1,1,0.51
295,1,1,0.51
296,2,0,0.51
297,2,0,0.505
298,1,1,0.505
299,2,0,0.505
300,2,0,0.505
301,1,1,0.505
302,2,0,0.505
303,1,1,0.505
304,1,1,0.505
305,2,0,0.505
306,2,0,0.5
307,1,1,0.505
308,2,0,0.505
309,2,0,0.5
310,1,1,0.505
311,1,1,0.51
312,2,0,0.505
313,1,1,0.505
314,2,0,0.505
315,2,0,0.5
316,1,1,0.5
317,2,0,0.5
318,2,0,0.495
319,1,1,0.5
320,1,1,0.505
321,2,0,0.5
322,1,1,0.5
323,1,1,0.505
324,2,0,0.5
325,2,0,0.495
326,1,1,0.5
327,2,0,0.5
328,1,1,0.5
329,1,1,0.505
330,2,0,0.5
331,1,1,0.5
332,2,0,0.5
333,2,0,0.495
334,1,1,0.495
335,2,0,0.495
336,2,0,0.495
337,1,1,0.495
338,1,1,0.5
339,2,0,0.5
340,1,1,0.5
341,2,0,0.495
342,2,0,0.495
343,1,1,0.495
344,2,0,0.495
345,1,1,0.5
346,1,1,0.5
347,2,0,0.5
348,2,0,0.495
349,1,1,0.495
350,2,0,0.495
351,2,0,0.495
352,1,1,0.495
353,1,1,0.5
354,2,0,0.5
355,1,1,0.5
356,1,1,0.505
357,2,0,0.5
358,1,1,0.5
359,2,0,0.5
360,2,0,0.495
361,1,1,0.495
362,2,0,0.495
363,2,0,0.495
364,1,1,0.495
365,1,1,0.5
366,2,0,0.5
367,1,1,0.5
368,2,0,0.495
369,2,0,0.495
370,1,1,0.495
371,2,0,0.495
372,1,1,0.5
373,1,1,0.5
374,2,0,0.5
375,2,0,0.495
376,1,1,0.495
377,2,0,0.495
378,2,0,0.49
379,1,1,0.49
380,2,0,0.49
381,1,1,0.495
382,1,1,0.495
383,2,0,0.495
384,1,1,0.495
385,2,0,0.49
386,2,0,0.49
387,1,1,0.49
388,1,1,0.495
389,2,0,0.495
390,1,1,0.495
391,1,1,0.495
392,2,0,0.495
393,2,0,0.49
394,1,1,0.49
395,2,0,0.49
396,2,0,0.485
397,1,1,0.49
398,2,0,0.49
399,1,1,0.49
400,1,1,0.495
401,2,0,0.49
402,1,1,0.49
403,1,1,0.495
404,2,0,0.495
405,2,0,0.49
406,1,1,0.495
407,2,0,0.495
408,1,1,0.495
409,1,1,0.495
410,2,0,0.495
411,1,1,0.495
412,2,0,0.495
413,2,0,0.495
414,1,1,0.495
415,2,0,0.495
416,2,0,0.495
417,1,1,0.495
418,1,1,0.495
419,2,0,0.495
420,1,1,0.495
421,1,1,0.495
422,2,0,0.495
423,2,0,0.49
424,1,1,0.495
425,2,0,0.495
426,1,1,0.495
427,1,1,0.495
428,2,0,0.495
429,1,1,0.495
430,1,1,0.495
431,2,0,0.495
432,2,0,0.495
433,1,1,0.495
434,2,0,0.495
435,2,0,0.495
436,1,1,0.495
437,2,0,0.495
438,1,1,0.495
439,1,1,0.495
440,2,0,0.495
441,1,1,0.495
442,2,0,0.495
443,2,0,0.495
444,1,1,0.495
445,1,1,0.495
446,2,0,0.495
447,1,1,0.495
448,1,1,0.495
449,2,0,0.495
450,2,0,0.495
451,1,1,0.495
452,2,0,0.495
453,2,0,0.49
454,1,1,0.49
455,2,0,0.49
456,1,1,0.49
457,1,1,0.49
458,2,0,0.49
459,2,0,0.49
460,1,1,0.49
461,2,0,0.49
462,2,0,0.49
463,1,1,0.49
464,1,1,0.495
465,2,0,0.49
466,1,1,0.49
467,2,0,0.49
468,2,0,0.485
469,1,1,0.49
470,2,0,0.49
471,2,0,0.485
472,1,1,0.485
473,1,1,0.49
474,2,0,0.485
475,1,1,0.485
476,1,1,0.49
477,2,0,0.485
478,2,0,0.485
479,1,1,0.49
480,2,0,0.485
481,1,1,0.49
482,1,1,0.495
483,2,0,0.49
484,1,1,0.49
485,2,0,0.49
486,2,0,0.485
487,1,1,0.49
488,1,1,0.495
489,2,0,0.49
490,1,1,0.495
491,1,1,0.495
492,2,0,0.49
493,1,1,0.495
494,2,0,0.49
495,2,0,0.485
496,1,1,0.49
497,2,0,0.49
498,2,0,0.485
499,1,1,0.49
500,1,1,0.495
501,2,0,0.49
502,1,1,0.495
503,1,1,0.495
504,2,0,0.49
505,2,0,0.49
506,1,1,0.495
507,2,0,0.49
508,1,1,0.495
509,1,1,0.5
510,2,0,0.495
511,1,1,0.495
512,1,1,0.5
513,2,0,0.495
514,2,0,0.495
515,1,1,0.5
516,2,0,0.495
517,2,0,0.495
518,1,1,0.5
519,2,0,0.495
520,1,1,0.495
521,1,1,0.5
522,2,0,0.495
523,2,0,0.49
524,1,1,0.495
525,2,0,0.495
526,2,0,0.49
527,1,1,0.495
528,1,1,0.495
529,2,0,0.49
530,1,1,0.495
531,2,0,0.49
532,2,0,0.49
533,1,1,0.495
534,2,0,0.49
535,1,1,0.495
536,1,1,0.5
537,2,0,0.495
538,1,1,0.495
539,1,1,0.5
540,2,0,0.495
541,2,0,0.495
542,1,1,0.5
543,2,0,0.495
544,2,0,0.495
545,1,1,0.495
546,1,1,0.495
547,2,0,0.495
548,1,1,0.5
549,2,0,0.495
550,2,0,0.495
551,1,1,0.5
552,2,0,0.495
553,2,0,0.49
554,1,1,0.495
555,1,1,0.495
556,2,0,0.49
557,1,1,0.495
558,1,1,0.495
559,2,0,0.495
560,1,1,0.5
561,2,0,0.495
562,2,0,0.495
563,1,1,0.5
564,1,1,0.5
565,2,0,0.495
566,1,1,0.5
567,1,1,0.5
568,2,0,0.5
569,2,0,0.5
570,1,1,0.5
571,2,0,0.5
572,2,0,0.495
573,1,1,0.495
574,2,0,0.495
575,1,1,0.5
576,1,1,0.5
577,2,0,0.5
578,1,1,0.505
579,1,1,0.505
580,2,0,0.505
581,2,0,0.5
582,1,1,0.5
583,2,0,0.5
584,1,1,0.5
585,1,1,0.505
586,2,0,0.505
587,1,1,0.505
588,2,0,0.5
589,2,0,0.5
590,1,1,0.5
591,1,1,0.5
592,2,0,0.5
593,1,1,0.505
594,1,1,0.505
595,2,0,0.505
596,2,0,0.505
597,1,1,0.505
598,2,0,0.505
599,2,0,0.5
600,1,1,0.5
601,2,0,0.5
602,1,1,0.5
603,1,1,0.5
604,2,0,0.5
605,1,1,0.505
606,2,0,0.5
607,2,0,0.5
608,1,1,0.5
609,1,1,0.5
610,2,0,0.5
611,1,1,0.5
612,1,1,0.505
613,2,0,0.505
614,1,1,0.505
615,2,0,0.505
616,2,0,0.505
617,1,1,0.505
618,2,0,0.5
619,2,0,0.5
620,1,1,0.5
621,1,1,0.5
622,2,0,0.5
623,1,1,0.505
624,1,1,0.505
625,2,0,0.505
626,2,0,0.5
627,1,1,0.5
628,2,0,0.5
629,1,1,0.5
630,1,1,0.5
631,2,0,0.5
632,1,1,0.505
633,2,0,0.5
634,2,0,0.5
635,1,1,0.505
636,1,1,0.505
637,2,0,0.505
638,1,1,0.505
639,1,1,0.505
640,2,0,0.505
641,1,1,0.505
642,2,0,0.505
643,2,0,0.505
644,1,1,0.505
645,2,0,0.5
646,1,1,0.505
647,1,1,0.505
648,2,0,0.5
649,2,0,0.5
650,1,1,0.505
651,2,0,0.5
652,2,0,0.5
653,1,1,0.505
654,1,1,0.505
655,2,0,0.505
656,1,1,0.505
657,1,1,0.505
658,2,0,0.505
659,1,1,0.51
660,2,0,0.505
661,2,0,0.505
662,1,1,0.51
663,2,0,0.505
664,2,0,0.5
665,1,1,0.505
666,1,1,0.505
667,2,0,0.505
668,1,1,0.51
669,2,0,0.505
670,2,0,0.505
671,1,1,0.51
672,2,0,0.505
673,1,1,0.505
674,1,1,0.51
675,2,0,0.505
676,2,0,0.5
677,1,1,0.505
678,2,0,0.505
679,2,0,0.5
680,1,1,0.505
681,1,1,0.505
682,2,0,0.5
683,1,1,0.505
684,1,1,0.505
685,2,0,0.505
686,1,1,0.51
687,2,0,0.505
688,2,0,0.5
689,1,1,0.505
690,1,1,0.505
691,2,0,0.5
692,1,1,0.505
693,1,1,0.505
694,2,0,0.505
695,2,0,0.505
696,1,1,0.505
697,2,0,0.505
698,1,1,0.51
699,1,1,0.51
700,2,0,0.505
701,1,1,0.51
702,1,1,0.51
703,2,0,0.505
704,2,0,0.505
705,1,1,0.51
706,2,0,0.505
707,2,0,0.505
708,1,1,0.505
709,1,1,0.505
710,2,0,0.505
711,1,1,0.505
712,2,0,0.5
713,2,0,0.5
714,1,1,0.505
715,2,0,0.5
716,1,1,0.505
717,1,1,0.51
718,2,0,0.505
719,2,0,0.505
720,1,1,0.505
721,2,0,0.5
722,2,0,0.5
723,1,1,0.505
724,2,0,0.5
725,1,1,0.505
726,1,1,0.51
727,2,0,0.505
728,1,1,0.505
729,1,1,0.51
730,2,0,0.505
731,2,0,0.505
732,1,1,0.51
733,2,0,0.505
734,1,1,0.51
735,1,1,0.51
736,2,0,0.505
737,1,1,0.51
738,2,0,0.505
739,2,0,0.5
740,1,1,0.505
741,2,0,0.505
742,2,0,0.5
743,1,1,0.505
744,1,1,0.51
745,2,0,0.505
746,1,1,0.505
747,1,1,0.51
748,2,0,0.505
749,2,0,0.505
750,1,1,0.51
751,2,0,0.505
752,1,1,0.51
753,1,1,0.515
754,2,0,0.51
755,1,1,0.51
756,2,0,0.51
757,2,0,0.505
758,1,1,0.505
759,1,1,0.51
760,2,0,0.505
761,1,1,0.51
762,1,1,0.515
763,2,0,0.51
764,1,1,0.51
765,2,0,0.51
766,2,0,0.505
767,1,1,0.505
768,2,0,0.505
769,1,1,0.51
770,1,1,0.51
771,2,0,0.51
772,2,0,0.51
773,1,1,0.51
774,2,0,0.51
775,2,0,0.505
776,1,1,0.505
777,1,1,0.51
778,2,0,0.505
779,1,1,0.505
780,1,1,0.51
781,2,0,0.51
782,1,1,0.51
783,2,0,0.51
784,2,0,0.505
785,1,1,0.505
786,1,1,0.51
787,2,0,0.505
788,1,1,0.51
789,1,1,0.515
790,2,0,0.51
791,2,0,0.505
792,1,1,0.51
793,2,0,0.505
794,1,1,0.505
795,1,1,0.51
796,2,0,0.51
797,1,1,0.51
798,1,1,0.515
799,2,0,0.515
800,2,0,0.51
801,1,1,0.515
802,2,0,0.51
803,2,0,0.505
804,1,1,0.51
805,2,0,0.505
806,1,1,0.51
807,1,1,0.515
808,2,0,0.51
809,1,1,0.51
810,2,0,0.51
811,2,0,0.505
812,1,1,0.505
813,1,1,0.51
814,2,0,0.505
815,1,1,0.51
816,1,1,0.515
817,2,0,0.51
818,2,0,0.51
819,1,1,0.515
820,2,0,0.51
821,1,1,0.51
822,1,1,0.515
823,2,0,0.51
824,1,1,0.51
825,1,1,0.515
826,2,0,0.515
827,2,0,0.51
828,1,1,0.515
829,2,0,0.51
830,2,0,0.505
831,1,1,0.51
832,1,1,0.51
833,2,0,0.51
834,1,1,0.515
835,2,0,0.51
836,2,0,0.505
837,1,1,0.51
838,2,0,0.505
839,1,1,0.505
840,1,1,0.51
841,2,0,0.505
842,1,1,0.51
843,1,1,0.515
844,2,0,0.51
845,2,0,0.51
846,1,1,0.51
847,2,0,0.505
848,1,1,0.51
849,1,1,0.515
850,2,0,0.51
851,1,1,0.515
852,2,0,0.515
853,2,0,0.51
854,1,1,0.51
855,1,1,0.515
856,2,0,0.51
857,1,1,0.51
858,1,1,0.515
859,2,0,0.51
860,2,0,0.51
861,1,1,0.515
862,2,0,0.51
863,2,0,0.51
864,1,1,0.515
865,2,0,0.51
866,1,1,0.51
867,1,1,0.515
868,2,0,0.51
869,1,1,0.515
870,2,0,0.515
871,2,0,0.51
872,1,1,0.515
873,1,1,0.515
874,2,0,0.51
875,1,1,0.515
876,1,1,0.52
877,2,0,0.515
878,1,1,0.52
879,2,0,0.52
880,2,0,0.515
881,1,1,0.515
882,2,0,0.515
883,2,0,0.51
884,1,1,0.51
885,1,1,0.515
886,2,0,0.51
887,1,1,0.515
888,2,0,0.515
889,2,0,0.51
890,1,1,0.51
891,2,0,0.51
892,1,1,0.51
893,1,1,0.51
894,2,0,0.51
895,2,0,0.51
896,1,1,0.51
897,2,0,0.51
898,2,0,0.505
899,1,1,0.505
900,1,1,0.51
901,2,0,0.505
902,1,1,0.505
903,1,1,0.51
904,2,0,0.51
905,1,1,0.51
906,2,0,0.51
907,2,0,0.51
908,1,1,0.51
909,2,0,0.505
910,2,0,0.505
911,1,1,0.505
912,1,1,0.51
913,2,0,0.51
914,1,1,0.51
915,2,0,0.51
916,2,0,0.505
917,1,1,0.505
918,2,0,0.505
919,1,1,0.51
920,1,1,0.51
921,2,0,0.51
922,1,1,0.515
923,1,1,0.515
924,2,0,0.515
925,2,0,0.51
926,1,1,0.51
927,2,0,0.51
928,2,0,0.505
929,1,1,0.505
930,1,1,0.51
931,2,0,0.51
932,1,1,0.51
933,2,0,0.51
934,2,0,0.505
935,1,1,0.505
936,2,0,0.505
937,1,1,0.505
938,1,1,0.51
939,2,0,0.51
940,2,0,0.505
941,1,1,0.51
942,2,0,0.51
943,2,0,0.505
944,1,1,0.505
945,2,0,0.505
946,1,1,0.505
947,1,1,0.505
948,2,0,0.505
949,1,1,0.51
950,1,1,0.51
951,2,0,0.51
952,2,0,0.505
953,1,1,0.505
954,2,0,0.505
955,1,1,0.505
956,1,1,0.51
957,2,0,0.51
958,1,1,0.51
959,2,0,0.505
960,2,0,0.505
961,1,1,0.505
962,2,0,0.5
963,2,0,0.5
964,1,1,0.5
965,1,1,0.505
966,2,0,0.505
967,1,1,0.505
968,1,1,0.51
969,2,0,0.505
970,1,1,0.505
971,2,0,0.505
972,2,0,0.505
973,1,1,0.505
974,1,1,0.51
975,2,0,0.51
976,1,1,0.51
977,1,1,0.51
978,2,0,0.51
979,2,0,0.505
980,1,1,0.505
981,2,0,0.505
982,1,1,0.505
983,1,1,0.51
984,2,0,0.51
985,1,1,0.51
986,2,0,0.505
987,2,0,0.505
988,1,1,0.505
989,2,0,0.5
990,2,0,0.5
991,1,1,0.505
992,1,1,0.505
993,2,0,0.505
994,1,1,0.505
995,1,1,0.505
996,2,0,0.505
997,2,0,0.5
998,1,1,0.5
999,2,0,0.5
1000,1,1,0.505
1001,1,1,0.505
1002,2,0,0.505
1003,1,1,0.51
1004,1,1,0.51
1005,2,0,0.51
1006,2,0,0.505
1007,1,1,0.505
1008,2,0,0.505
1009,2,0,0.5
1010,1,1,0.505
1011,2,0,0.505
1012,1,1,0.505
1013,1,1,0.505
1014,2,0,0.505
1015,2,0,0.5
1016,1,1,0.5
1017,2,0,0.5
1018,2,0,0.5
1019,1,1,0.5
1020,1,1,0.505
1021,2,0,0.5
1022,1,1,0.5
1023,2,0,0.5
1024,2,0,0.495
1025,1,1,0.495
1026,2,0,0.495
1027,1,1,0.5
1028,1,1,0.5
1029,2,0,0.5
1030,1,1,0.505
1031,1,1,0.505
1032,2,0,0.5
1033,2,0,0.5
1034,1,1,0.5
1035,2,0,0.5
1036,1,1,0.505
1037,1,1,0.505
1038,2,0,0.505
1039,1,1,0.505
1040,2,0,0.5
1041,2,0,0.5
1042,1,1,0.5
1043,1,1,0.5
1044,2,0,0.5
1045,1,1,0.505
1046,1,1,0.505
1047,2,0,0.505
1048,1,1,0.505
1049,2,0,0.5
1050,2,0,0.5
1051,1,1,0.5
1052,2,0,0.5
1053,1,1,0.505
1054,1,1,0.505
1055,2,0,0.5
1056,2,0,0.5
1057,1,1,0.5
1058,2,0,0.495
1059,2,0,0.495
1060,1,1,0.5
1061,1,1,0.5
1062,2,0,0.5
1063,1,1,0.505
1064,2,0,0.5
1065,2,0,0.5
1066,1,1,0.5
1067,2,0,0.495
1068,2,0,0.495
1069,1,1,0.495
1070,1,1,0.5
1071,2,0,0.5
1072,1,1,0.5
1073,1,1,0.5
1074,2,0,0.5
1075,1,1,0.5
1076,2,0,0.495
1077,2,0,0.495
1078,1,1,0.495
1079,1,1,0.5
1080,2,0,0.5
1081,1,1,0.5
1082,1,1,0.505
1083,2,0,0.505
1084,2,0,0.5
1085,1,1,0.5
1086,2,0,0.5
1087,2,0,0.495
1088,1,1,0.5
1089,2,0,0.5
1090,1,1,0.5
1091,1,1,0.505
1092,2,0,0.5
1093,1,1,0.5
1094,2,0,0.5
1095,2,0,0.5
1096,1,1,0.5
1097,1,1,0.505
1098,2,0,0.505
1099,1,1,0.505
1100,1,1,0.505
1101,2,0,0.505
1102,1,1,0.505
1103,2,0,0.5
1104,2,0,0.5
1105,1,1,0.5
1106,2,0,0.5
1107,2,0,0.5
1108,1,1,0.5
1109,1,1,0.505
1110,2,0,0.505
1111,1,1,0.505
1112,1,1,0.505
1113,2,0,0.505
1114,2,0,0.5
1115,1,1,0.505
1116,2,0,0.505
1117,1,1,0.505
1118,1,1,0.51
1119,2,0,0.505
1120,1,1,0.505
1121,2,0,0.505
1122,2,0,0.5
1123,1,1,0.5
1124,1,1,0.505
1125,2,0,0.505
1126,1,1,0.505
1127,1,1,0.51
1128,2,0,0.51
1129,1,1,0.51
1130,2,0,0.505
1131,2,0,0.505
1132,1,1,0.505
1133,2,0,0.505
1134,2,0,0.505
1135,1,1,0.505
1136,1,1,0.51
1137,2,0,0.505
1138,1,1,0.505
1139,2,0,0.505
1140,2,0,0.505
1141,1,1,0.505
1142,2,0,0.505
1143,1,1,0.51
1144,1,1,0.51
1145,2,0,0.51
1146,1,1,0.51
1147,1,1,0.51
1148,2,0,0.51
1149,2,0,0.505
1150,1,1,0.505
1151,2,0,0.505
1152,2,0,0.505
1153,1,1,0.505
1154,2,0,0.505
1155,1,1,0.505
1156,1,1,0.505
1157,2,0,0.505
1158,2,0,0.5
1159,1,1,0.505
1160,2,0,0.505
1161,2,0,0.5
1162,1,1,0.505
1163,1,1,0.51
1164,2,0,0.505
1165,1,1,0.505
1166,2,0,0.505
1167,2,0,0.5
1168,1,1,0.5
1169,2,0,0.5
1170,1,1,0.5
1171,1,1,0.505
1172,2,0,0.505
1173,1,1,0.505
1174,1,1,0.505
1175,2,0,0.505
1176,2,0,0.5
1177,1,1,0.5
1178,2,0,0.5
1179,1,1,0.505
1180,1,1,0.505
1181,2,0,0.505
1182,1,1,0.505
1183,2,0,0.5
1184,2,0,0.5
1185,1,1,0.5
1186,1,1,0.505
1187,2,0,0.505
1188,1,1,0.505
1189,1,1,0.51
1190,2,0,0.51
1191,1,1,0.51
1192,2,0,0.505
1193,2,0,0.505
1194,1,1,0.505
1195,2,0,0.5
1196,1,1,0.505
1197,1,1,0.51
1198,2,0,0.505
1199,2,0,0.505
1200,1,1,0.505
1201,2,0,0.5
1202,2,0,0.5
1203,1,1,0.5
1204,1,1,0.5
1205,2,0,0.5
1206,1,1,0.505
1207,1,1,0.505
1208,2,0,0.505
1209,1,1,0.51
1210,2,0,0.505
1211,2,0,0.505
1212,1,1,0.505
1213,2,0,0.5
1214,2,0,0.5
1215,1,1,0.505
1216,1,1,0.505
1217,2,0,0.505
1218,1,1,0.51
1219,2,0,0.505
1220,2,0,0.5
1221,1,1,0.505
1222,2,0,0.5
1223,1,1,0.505
1224,1,1,0.51
1225,2,0,0.505
1226,2,0,0.505
1227,1,1,0.505
1228,2,0,0.5
1229,2,0,0.5
1230,1,1,0.5
1231,2,0,0.495
1232,1,1,0.5
1233,1,1,0.505
1234,2,0,0.5
1235,1,1,0.505
1236,2,0,0.5
1237,2,0,0.495
1238,1,1,0.5
1239,1,1,0.5
1240,2,0,0.5
1241,1,1,0.505
1242,1,1,0.505
1243,2,0,0.5
1244,2,0,0.5
1245,1,1,0.5
1246,2,0,0.495
1247,1,1,0.5
1248,1,1,0.5
1249,2,0,0.5
1250,1,1,0.505
1251,1,1,0.505
1252,2,0,0.505
1253,2,0,0.5
1254,1,1,0.5
1255,2,0,0.5
1256,2,0,0.5
1257,1,1,0.5
1258,2,0,0.5
1259,1,1,0.505
1260,1,1,0.505
1261,2,0,0.5
1262,1,1,0.505
1263,2,0,0.5
1264,2,0,0.5
1265,1,1,0.505
1266,1,1,0.505
1267,2,0,0.505
1268,1,1,0.51
1269,1,1,0.51
1270,2,0,0.505
1271,1,1,0.51
1272,2,0,0.505
1273,2,0,0.5
1274,1,1,0.505
1275,2,0,0.5
1276,2,0,0.5
1277,1,1,0.505
1278,1,1,0.505
1279,2,0,0.5
1280,1,1,0.505
1281,2,0,0.5
1282,2,0,0.495
1283,1,1,0.5
1284,2,0,0.5
1285,1,1,0.5
1286,1,1,0.505
1287,2,0,0.505
1288,2,0,0.5
1289,1,1,0.505
1290,2,0,0.5
1291,2,0,0.495
1292,1,1,0.5
1293,1,1,0.5
1294,2,0,0.5
1295,1,1,0.505
1296,1,1,0.505
1297,2,0,0.5
1298,1,1,0.505
1299,2,0,0.5
1300,2,0,0.495
1301,1,1,0.5
1302,2,0,0.495
1303,2,0,0.495
1304,1,1,0.5
1305,1,1,0.5
1306,2,0,0.5
1307,1,1,0.505
1308,2,0,0.5
1309,2,0,0.495
1310,1,1,0.5
1311,2,0,0.495
1312,1,1,0.495
1313,1,1,0.5
1314,2,0,0.5
1315,1,1,0.5
1316,1,1,0.505
1317,2,0,0.5
1318,2,0,0.495
1319,1,1,0.5
1320,2,0,0.495
1321,2,0,0.495
1322,1,1,0.5
1323,1,1,0.5
1324,2,0,0.495
1325,1,1,0.5
1326,2,0,0.495
1327,2,0,0.49
1328,1,1,0.495
1329,2,0,0.49
1330,2,0,0.49
1331,1,1,0.495
1332,1,1,0.495
1333,2,0,0.495
1334,1,1,0.5
1335,1,1,0.5
1336,2,0,0.495
1337,1,1,0.5
1338,2,0,0.495
1339,2,0,0.495
1340,1,1,0.5
1341,1,1,0.5
1342,2,0,0.5
1343,1,1,0.5
1344,1,1,0.5
1345,2,0,0.5
1346,2,0,0.495
1347,1,1,0.495
1348,2,0,0.495
1349,1,1,0.5
1350,1,1,0.5
1351,2,0,0.5
1352,1,1,0.505
1353,2,0,0.5
1354,2,0,0.5
1355,1,1,0.5
1356,2,0,0.495
1357,2,0,0.495
1358,1,1,0.5
1359,1,1,0.5
1360,2,0,0.5
1361,1,1,0.505
1362,1,1,0.505
1363,2,0,0.5
1364,2,0,0.5
1365,1,1,0.5
1366,2,0,0.5
1367,1,1,0.505
1368,1,1,0.505
1369,2,0,0.505
1370,1,1,0.505
1371,1,1,0.505
1372,2,0,0.505
1373,2,0,0.5
1374,1,1,0.5
1375,2,0,0.5
1376,2,0,0.5
1377,1,1,0.5
1378,2,0,0.5
1379,1,1,0.5
1380,1,1,0.5
1381,2,0,0.5
1382,1,1,0.5
1383,2,0,0.5
1384,2,0,0.5
1385,1,1,0.5
1386,1,1,0.5
1387,2,0,0.5
1388,1,1,0.5
1389,1,1,0.5
1390,2,0,0.5
1391,2,0,0.495
1392,1,1,0.5
1393,2,0,0.5
1394,1,1,0.5
1395,1,1,0.505
1396,2,0,0.5
1397,1,1,0.5
1398,1,1,0.505
1399,2,0,0.505
1400,2,0,0.5
1401,1,1,0.505
1402,2,0,0.505
1403,2,0,0.5
1404,1,1,0.5
1405,2,0,0.5
1406,1,1,0.5
1407,1,1,0.5
1408,2,0,0.5
1409,2,0,0.495
1410,1,1,0.5
1411,2,0,0.5
1412,2,0,0.495
1413,1,1,0.5
1414,1,1,0.505
